NO,개설대학,개설학과,개설전공,"교양영역구분",학정번호,과목명,외국인전용,원격100%,원격50%,사전녹화100%,재직자전형,집중이수제,외국어강의,외국어강의비율(%),신입생 및 1학년 분반,이수구분,인증/연계,주야,학점,시수,담당교수,요일1-일,요일1-시간,요일1-강의실,요일2-일,요일2-시간,요일2-강의실,요일3-일,요일3-시간,요일3-강의실,"비고(1학년은 신입생 및 1학년 분반 정보 참고하여 수강)"
437 ,공통,공통,공통,대학실용영어,0000-2-5834-01,TOEIC RC 초급,,,,,,,영어,50 ,,교선,,주,3 ,3 ,김연정,월,1 ,한울404,수,2 ,한울404,,,,
438 ,공통,공통,공통,대학실용영어,0000-2-5836-01,영어통역2,,,,,,,,0 ,,교선,,주,3 ,3 ,박소현,월,2 ,옥207,수,1 ,옥207,,,,
439 ,공통,공통,공통,대학실용영어,0000-2-5837-01,TOEIC LC 중급,,,,,,,,0 ,,교선,,주,3 ,3 ,김경옥,화,1 ,한울504,목,2 ,한울504,,,,
440 ,공통,공통,공통,예술과체육,0000-2-5902-01,디자인과창의성,,,,,,,,0 ,,교선,,주,3 ,3 ,이보용,금,"1,2",한울405,,,,,,,
441 ,공통,공통,공통,예술과체육,0000-2-5919-01,융합콘텐츠작법,,,,,,,,0 ,,교선,,주,3 ,3 ,박은아,금,"3,4",한울405,,,,,,,
442 ,공통,공통,공통,과학과기술,0000-2-5925-01,공학과파이썬,,,,,,,,0 ,,교선,,주,3 ,3 ,민영호,화,4 ,연202,목,3 ,연202,,,,
443 ,공통,공통,공통,과학과기술,0000-2-5925-02,공학과파이썬,,,,,,,,0 ,,교선,,주,3 ,3 ,민영호,금,"1,2",연202,,,,,,,
444 ,공통,공통,공통,과학과기술,0000-2-5926-01,업무자동화와파이썬,,,,,,,,0 ,,교선,,주,3 ,3 ,이강성,월,1 ,연202,수,2 ,연202,,,,
445 ,공통,공통,공통,과학과기술,0000-2-5927-01,데이터분석과파이썬,,,Y,,,,,0 ,,교선,,주,3 ,3 ,이강성,월,2 ,연202,수,1 ,연202,,,,
446 ,공통,공통,공통,수리와자연(수학),0000-2-6020-01,자연교양심화세미나,,,,,,,,,,교선,,주,3 ,3 ,최종성,월,4 ,한울301,수,3 ,한울301,,,,
447 ,공통,공통,공통,글로벌문화와제2외국어,0000-2-6022-01,중국어커뮤니케이션,,,,,,,,,,교선,,주,3 ,3 ,김수정,월,5 ,한울305,수,6 ,한울305,,,,
448 ,공통,공통,공통,글로벌문화와제2외국어,0000-2-6023-01,실전일본어회화,,,,,,,,,,교선,,주,3 ,3 ,후지무라마이,화,6 ,한울203,목,5 ,한울203,,,,
449 ,공통,공통,공통,글로벌문화와제2외국어,0000-2-6023-02,실전일본어회화,,,,,,,,,,교선,,주,3 ,3 ,쿠도에리코,금,"3,4",한울308,,,,,,,
450 ,공통,공통,공통,사회와경제,0000-2-6048-01,경력개발프로그램(CDP),,,,,,,,0 ,,교선,,주,1 ,1 ,노정진,수,6 ,,,,,,,,
451 ,공통,공통,공통,예술과체육,0000-2-6059-01,실내악앙상블,,,,,,,,0 ,,교선,,주,3 ,3 ,연효정,화,"3,4",연1002,,,,,,,
452 ,공통,공통,공통,사회와경제,0000-2-6137-01,범죄와사회,,,,,,,,,,교선,,야,3 ,3 ,강희창,수,"8,9,10",한울403,,,,,,,
453 ,공통,공통,공통,서울권역e-러닝계열,0000-2-6237-01,음식과세계문화,,Y,,Y,,,,,,교선,,주,3 ,3 ,,토,27 ,,,,,,,,
454 ,공통,공통,공통,서울권역e-러닝계열,0000-2-6238-01,그린IT의이해,,Y,,Y,,,,,,교선,,주,3 ,3 ,,토,26 ,,,,,,,,
455 ,공통,공통,공통,,0000-2-6377-01,사회복지실천론,,,,,,,,,,일선,연필,주,3 ,3 ,김고은,수,"5,6",한울408,,,,,,,
456 ,공통,공통,공통,,0000-2-6378-01,지역사회복지론,,,,,,,,,,일선,연필,주,3 ,3 ,구지윤,화,"3,4",한울311,,,,,,,
457 ,공통,공통,공통,,0000-2-6397-01,범죄학,,,,,,,,0 ,,일선,연선,주,3 ,3 ,임용진,금,"3,4",한울310,,,,,,,
458 ,공통,공통,공통,기초학문융합,0000-2-6454-01,데이터과학을위한이산수학,,,Y,,,,,,,교선,,주,3 ,3 ,최윤철,월,3 ,한울204,,,,,,,
459 ,공통,공통,공통,글로벌문화와제2외국어,0000-2-6468-01,미디어일본어,,,,,,,,,,교선,,주,3 ,3 ,후지무라마이,화,5 ,한울203,목,6 ,한울203,,,,
460 ,공통,공통,공통,글로벌문화와제2외국어,0000-2-6468-02,미디어일본어,,,,,,,,0 ,,교선,,야,3 ,3 ,박현정,수,"7,8,9",한울203,,,,,,,
